time_index,prefix_size,exact_mean,estimate_mean,estimate_std,estimate_minus_std,estimate_plus_std
0,5000,4888.8,4948.55,152.026,4796.52,5100.58
1,10000,9714.17,9685.85,248.884,9436.97,9934.74
2,15000,14534.1,14375.7,386.306,13989.4,14762
3,20000,19342.6,19141.7,486.107,18655.6,19627.8
4,25000,24145.2,23899.3,693.746,23205.6,24593.1
5,30000,28946.3,28627.1,992.591,27634.5,29619.7
6,35000,33737.2,33388.5,966.929,32421.5,34355.4
7,40000,38528.6,38171.7,1064.08,37107.6,39235.8
8,45000,43308.2,42834.8,1065.1,41769.7,43899.9
9,50000,48079.1,47469.7,1045.48,46424.2,48515.2
